epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.4497,1.81177,0.61417,0.98833,0.93475,0.000275816,0.000275816,0.000275816
2,46.1468,1.17706,0.75583,0.9975,0.66676,0.000542523,0.000542523,0.000542523
3,69.7591,0.95173,0.74583,0.99708,0.81582,0.000798235,0.000798235,0.000798235
4,91.6045,0.81263,0.80208,0.99792,0.54176,0.00078352,0.00078352,0.00078352
5,110.994,0.68373,0.80958,0.99667,0.52456,0.000767026,0.000767026,0.000767026
6,128.087,0.60125,0.86083,0.99875,0.37465,0.000750533,0.000750533,0.000750533
7,148.322,0.56353,0.89875,0.99792,0.31174,0.00073404,0.00073404,0.00073404
8,169.869,0.50509,0.90042,0.9975,0.30541,0.000717546,0.000717546,0.000717546
9,187.629,0.46206,0.93333,0.99917,0.19329,0.000701053,0.000701053,0.000701053
10,204.792,0.46368,0.91167,0.99917,0.24953,0.000684559,0.000684559,0.000684559
11,223.794,0.43538,0.87208,0.99875,0.387,0.000668066,0.000668066,0.000668066
12,241.119,0.40956,0.8975,0.99917,0.29253,0.000651573,0.000651573,0.000651573
13,258.301,0.39151,0.91,0.99833,0.26745,0.000635079,0.000635079,0.000635079
14,275.39,0.37865,0.91917,0.9975,0.24892,0.000618586,0.000618586,0.000618586
15,292.444,0.35538,0.93208,0.99917,0.20492,0.000602092,0.000602092,0.000602092
16,310.281,0.34127,0.94083,0.99917,0.15729,0.000585599,0.000585599,0.000585599
17,327.308,0.32759,0.96167,0.99875,0.12023,0.000569106,0.000569106,0.000569106
18,344.144,0.33049,0.94542,0.99958,0.1629,0.000552612,0.000552612,0.000552612
19,361.51,0.30981,0.9275,0.99875,0.22871,0.000536119,0.000536119,0.000536119
20,378.233,0.29993,0.9575,0.99917,0.13724,0.000519625,0.000519625,0.000519625
21,395.349,0.29441,0.95125,0.99917,0.14762,0.000503132,0.000503132,0.000503132
22,412.662,0.28457,0.95125,0.99833,0.15602,0.000486639,0.000486639,0.000486639
23,430.201,0.271,0.96542,0.99917,0.1136,0.000470145,0.000470145,0.000470145
24,446.221,0.25918,0.96625,0.99958,0.10308,0.000453652,0.000453652,0.000453652
25,463.147,0.27312,0.96375,0.99958,0.1162,0.000437158,0.000437158,0.000437158
26,480.174,0.25679,0.97083,0.99917,0.10121,0.000420665,0.000420665,0.000420665
27,497.766,0.25575,0.9675,0.99917,0.10511,0.000404172,0.000404172,0.000404172
28,515.089,0.22338,0.97208,0.99917,0.10062,0.000387678,0.000387678,0.000387678
29,532.248,0.23156,0.96833,0.99917,0.10367,0.000371185,0.000371185,0.000371185
30,549.726,0.22878,0.9725,0.99917,0.086,0.000354691,0.000354691,0.000354691
31,566.898,0.22698,0.96333,0.99958,0.12109,0.000338198,0.000338198,0.000338198
32,584.282,0.22475,0.96708,0.99917,0.10608,0.000321705,0.000321705,0.000321705
33,601.385,0.20378,0.97417,0.99917,0.08924,0.000305211,0.000305211,0.000305211
34,618.476,0.21271,0.97542,0.99917,0.0805,0.000288718,0.000288718,0.000288718
35,635.55,0.19555,0.975,0.99958,0.08645,0.000272224,0.000272224,0.000272224
36,652.584,0.19869,0.97333,0.99917,0.09068,0.000255731,0.000255731,0.000255731
37,669.595,0.18632,0.97458,0.99958,0.09607,0.000239238,0.000239238,0.000239238
38,686.709,0.19063,0.97333,0.99917,0.09077,0.000222744,0.000222744,0.000222744
39,704.217,0.18384,0.9725,0.99917,0.08908,0.000206251,0.000206251,0.000206251
40,721.393,0.18328,0.97333,0.99917,0.09459,0.000189757,0.000189757,0.000189757
41,95.2957,0.23041,0.97083,0.99917,0.10444,0.000173264,0.000173264,0.000173264
42,122.334,0.21264,0.97375,0.99917,0.08924,0.000156771,0.000156771,0.000156771
43,146.498,0.19763,0.97667,0.99917,0.08832,0.000140277,0.000140277,0.000140277
44,172.311,0.18388,0.9775,0.99917,0.08474,0.000123784,0.000123784,0.000123784
45,196.979,0.17976,0.975,0.99917,0.08756,0.00010729,0.00010729,0.00010729
46,220.775,0.17236,0.97708,0.99917,0.08445,9.0797e-05,9.0797e-05,9.0797e-05
47,243.566,0.17377,0.97792,0.99917,0.08361,7.43036e-05,7.43036e-05,7.43036e-05
48,266.096,0.16658,0.975,0.99917,0.08473,5.78102e-05,5.78102e-05,5.78102e-05
49,289.431,0.16314,0.97625,0.99917,0.08468,4.13168e-05,4.13168e-05,4.13168e-05
50,310.495,0.15469,0.97625,0.99917,0.08344,2.48234e-05,2.48234e-05,2.48234e-05
