epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,99.7678,1.0086,0.86447,1,0.36946,0.00332632,0.00332632,0.00332632
2,197.401,0.40741,0.91484,1,0.24107,0.00652779,0.00652779,0.00652779
3,284.493,0.27612,0.85162,1,0.41577,0.00959726,0.00959726,0.00959726
4,374.091,0.23682,0.92548,1,0.33975,0.009406,0.009406,0.009406
5,456.674,0.17713,0.93197,1,0.34975,0.009208,0.009208,0.009208
6,538.511,0.14791,0.91458,1,0.33702,0.00901,0.00901,0.00901
7,618.157,0.11246,0.92561,1,0.34643,0.008812,0.008812,0.008812
8,696.863,0.11193,0.92354,1,0.31425,0.008614,0.008614,0.008614
9,775.794,0.09351,0.91653,1,0.45752,0.008416,0.008416,0.008416
10,854.85,0.08688,0.9482,1,0.37791,0.008218,0.008218,0.008218
11,934.867,0.08232,0.94924,1,0.36524,0.00802,0.00802,0.00802
12,1014,0.07408,0.94535,1,0.38603,0.007822,0.007822,0.007822
13,1095.18,0.07013,0.95028,0.99987,0.41695,0.007624,0.007624,0.007624
14,1176.42,0.06779,0.92652,0.99948,0.43803,0.007426,0.007426,0.007426
15,1256.93,0.06528,0.93756,1,0.39192,0.007228,0.007228,0.007228
16,1336.89,0.05752,0.93431,1,0.42044,0.00703,0.00703,0.00703
17,1417.76,0.05883,0.94963,1,0.38611,0.006832,0.006832,0.006832
18,1501.74,0.05557,0.94885,1,0.42475,0.006634,0.006634,0.006634
19,1584.95,0.05669,0.94937,1,0.37151,0.006436,0.006436,0.006436
20,1666.6,0.05089,0.95054,0.99987,0.37736,0.006238,0.006238,0.006238
21,1748.39,0.04971,0.94963,1,0.43228,0.00604,0.00604,0.00604
22,1830.13,0.04744,0.94314,1,0.47021,0.005842,0.005842,0.005842
23,1912.19,0.04394,0.94651,0.99948,0.489,0.005644,0.005644,0.005644
24,1994.3,0.0458,0.94872,0.99987,0.47289,0.005446,0.005446,0.005446
25,2076.48,0.04564,0.94457,1,0.4535,0.005248,0.005248,0.005248
26,2158.62,0.04689,0.94522,0.99948,0.47715,0.00505,0.00505,0.00505
27,2240.74,0.03949,0.94989,0.99961,0.44738,0.004852,0.004852,0.004852
28,2322.97,0.03692,0.94444,0.99935,0.50748,0.004654,0.004654,0.004654
29,2403.95,0.03465,0.94483,0.99922,0.4975,0.004456,0.004456,0.004456
30,2489.64,0.03486,0.94716,0.99974,0.45456,0.004258,0.004258,0.004258
31,2570.94,0.03524,0.94963,0.99987,0.44367,0.00406,0.00406,0.00406
32,2653.93,0.03112,0.94405,0.99896,0.5382,0.003862,0.003862,0.003862
33,2733.93,0.02724,0.94755,0.99896,0.50659,0.003664,0.003664,0.003664
34,2813.31,0.03126,0.95275,0.99883,0.50188,0.003466,0.003466,0.003466
35,2893.61,0.03017,0.95093,1,0.45389,0.003268,0.003268,0.003268
36,2973.5,0.0295,0.95119,0.99987,0.44885,0.00307,0.00307,0.00307
37,3054.37,0.02567,0.94885,1,0.44816,0.002872,0.002872,0.002872
38,3133.78,0.02734,0.94703,1,0.44256,0.002674,0.002674,0.002674
39,3213.63,0.02492,0.94677,1,0.45638,0.002476,0.002476,0.002476
40,3294.39,0.02219,0.94067,1,0.44929,0.002278,0.002278,0.002278
41,3439.62,0.02255,0.94379,1,0.45087,0.00208,0.00208,0.00208
42,3520.38,0.02094,0.94794,1,0.45447,0.001882,0.001882,0.001882
43,3600.15,0.0197,0.95197,1,0.43293,0.001684,0.001684,0.001684
44,3680.63,0.01959,0.95275,1,0.41521,0.001486,0.001486,0.001486
45,3760.54,0.01692,0.95249,1,0.42548,0.001288,0.001288,0.001288
46,3839.17,0.01862,0.95404,0.99987,0.44606,0.00109,0.00109,0.00109
47,3917.76,0.01667,0.95223,0.99987,0.4501,0.000892,0.000892,0.000892
48,3996.43,0.01945,0.95275,0.99987,0.44384,0.000694,0.000694,0.000694
49,4082.88,0.01644,0.9521,0.99974,0.44908,0.000496,0.000496,0.000496
50,4164.63,0.01761,0.95119,0.99974,0.45282,0.000298,0.000298,0.000298
