epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6934,0.70063,4.56653,1.05437,0.79633,0.31201,0.46419,0.41881,0.54325,4.78058,0.93156,0.0673143,0.000330159,0.000330159
2,55.4094,0.66685,2.74641,1.01529,0.62443,0.78984,0.70783,0.62317,0.54111,2.70964,0.96158,0.0343136,0.000662844,0.000662844
3,76.601,0.63403,2.28771,0.99061,0.81472,0.85809,0.93693,0.81235,0.54734,2.12308,0.95024,0.00131039,0.000992935,0.000992935
4,97.2332,0.60607,2.03016,0.97376,0.78255,0.86841,0.92099,0.80299,0.52657,1.72542,0.95342,0.000991232,0.000991232,0.000991232
5,117.922,0.61708,1.91169,0.98513,0.81444,0.84373,0.90836,0.80555,0.50709,1.87089,0.93426,0.000984449,0.000984449,0.000984449
6,138.567,0.55974,1.65275,0.95633,0.86813,0.8942,0.95259,0.85592,0.50184,1.33194,0.92916,0.000975773,0.000975773,0.000975773
7,159.256,0.56091,1.58294,0.97502,0.93938,0.91342,0.97314,0.86765,0.48955,1.15737,0.91585,0.000965239,0.000965239,0.000965239
8,179.809,0.55713,1.48355,0.95982,0.81559,0.8565,0.95881,0.85587,0.48003,1.72607,0.9245,0.000952889,0.000952889,0.000952889
9,200.469,0.55955,1.45945,0.95541,0.89193,0.92491,0.96112,0.85793,0.49585,1.17018,0.91902,0.000938772,0.000938772,0.000938772
10,221.108,0.58988,1.40974,0.99583,0.91114,0.9194,0.96406,0.87231,0.48409,1.10241,0.93008,0.000922942,0.000922942,0.000922942
11,241.739,0.54853,1.39887,0.95986,0.95892,0.92017,0.96889,0.8739,0.46673,1.02103,0.91041,0.000905463,0.000905463,0.000905463
12,262.214,0.55085,1.34473,0.95871,0.85949,0.90168,0.93009,0.84309,0.45903,1.2259,0.91287,0.000886404,0.000886404,0.000886404
13,282.817,0.54489,1.28027,0.94482,0.93361,0.9464,0.97398,0.88753,0.4687,0.94599,0.90662,0.000865839,0.000865839,0.000865839
14,303.376,0.5198,1.1623,0.95336,0.93995,0.95383,0.97229,0.877,0.46056,0.93408,0.91657,0.000843851,0.000843851,0.000843851
15,324.104,0.5051,1.20607,0.94276,0.96251,0.92307,0.97346,0.88,0.48752,0.93201,0.91944,0.000820525,0.000820525,0.000820525
16,345.113,0.52974,1.16109,0.95437,0.84156,0.90145,0.92649,0.84606,0.44472,1.3497,0.89922,0.000795954,0.000795954,0.000795954
17,365.723,0.52029,1.149,0.9485,0.95753,0.91814,0.96146,0.8833,0.44182,1.02265,0.89345,0.000770234,0.000770234,0.000770234
18,386.33,0.50711,1.09957,0.94638,0.91291,0.9169,0.96127,0.87706,0.4432,0.95859,0.90509,0.000743468,0.000743468,0.000743468
