epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8602,1.51422,1.09438,0.68943,1.30559,1.64215,0.9585,0.97727,0.99225,0.65116,0.9585,0.97727,0.99225,0.77073,1.29467,0.97848,0.64532,0.85785,1.63635,0.000651852,0.000651852,0.000651852
2,45.2904,1.33333,0.62106,0.61147,0.9161,1.47472,0.93163,0.9291,0.93226,0.38363,0.97731,1,0.99411,0.56104,1.99615,1.73619,0.49344,0.85847,2.18947,0.00130547,0.00130547,0.00130547
3,57.9306,1.36343,0.57275,0.53949,0.92771,1.45579,0.12591,0.97727,0.13151,0.07176,0.12591,0.97727,0.13151,0.08445,1.44252,0.98122,0.211,6.75363,1.48339,0.00194588,0.00194588,0.00194588
4,69.1494,1.28604,0.47813,0.48523,0.87832,1.42849,0.88524,0.87673,0.94424,0.46831,0.90816,0.89913,0.96344,0.73527,1.64684,0.75341,0.2308,0.80235,1.65812,0.0019406,0.0019406,0.0019406
5,81.9227,1.24238,0.45918,0.44202,0.82089,1.40189,0.95646,0.99854,0.99368,0.68379,0.95646,0.99854,0.99368,0.80947,1.09674,0.47692,0.13594,0.60747,1.20182,0.0019208,0.0019208,0.0019208
6,94.3827,1.16609,0.39383,0.40226,0.77274,1.33779,1,0.99292,0.995,0.65722,1,0.99292,0.995,0.62217,1.19795,1.43845,0.05542,0.63009,1.22292,0.001901,0.001901,0.001901
7,110.761,1.19186,0.33588,0.3513,0.78119,1.3517,0.9976,1,0.995,0.7691,0.9976,1,0.995,0.95558,1.02847,0.26271,0.08934,0.49875,1.09917,0.0018812,0.0018812,0.0018812
8,124.894,1.16639,0.37339,0.34408,0.77279,1.33316,0.95164,0.95455,0.99004,0.75312,0.95164,0.95455,0.99004,0.98397,0.93207,0.17852,0.11255,0.55545,1.04798,0.0018614,0.0018614,0.0018614
9,140.031,1.10484,0.31372,0.31508,0.75043,1.30103,0.99694,1,0.995,0.75297,0.99694,1,0.995,0.94189,1.08117,0.24182,0.04331,0.50938,1.11033,0.0018416,0.0018416,0.0018416
10,155.154,1.08512,0.31352,0.30205,0.7398,1.28712,0.99701,1,0.995,0.57114,0.99701,1,0.995,0.98601,1.61159,0.16453,0.04778,0.58709,1.52122,0.0018218,0.0018218,0.0018218
11,167.797,1.09674,0.29079,0.29968,0.73812,1.29829,0.77885,0.97727,0.99044,0.49357,0.77885,0.97727,0.99044,0.95354,1.83487,0.25061,0.04797,2.07468,1.75643,0.001802,0.001802,0.001802
12,178.407,1.06023,0.28516,0.29198,0.69816,1.26995,0.99797,1,0.995,0.74593,0.99797,1,0.995,0.98341,0.93947,0.19004,0.04038,0.46948,1.04128,0.0017822,0.0017822,0.0017822
13,190.873,1.04864,0.30433,0.26678,0.6976,1.26564,1,0.99314,0.995,0.78422,1,0.99314,0.995,0.86409,0.84601,0.54952,0.03554,1.15991,0.94247,0.0017624,0.0017624,0.0017624
14,202.512,1.03539,0.31668,0.28282,0.67491,1.25469,0.98936,1,0.995,0.85671,0.98936,1,0.995,0.88465,0.64095,0.46706,0.0494,0.71774,0.90018,0.0017426,0.0017426,0.0017426
15,214.103,0.99102,0.24892,0.25396,0.66157,1.23409,0.95405,0.97727,0.99296,0.85726,0.95405,0.97727,0.99296,0.97992,0.62739,0.18252,0.03585,0.75461,0.87809,0.0017228,0.0017228,0.0017228
16,224.967,1.01348,0.23004,0.26062,0.65813,1.24344,0.97701,1,0.995,0.72413,0.97701,1,0.995,0.9888,1.10693,0.14307,0.06829,0.42717,1.08391,0.001703,0.001703,0.001703
17,235.4,1.02847,0.24529,0.25872,0.68148,1.25451,0.99848,1,0.995,0.85139,0.99848,1,0.995,0.99233,0.72123,0.11628,0.06961,0.36567,0.90237,0.0016832,0.0016832,0.0016832
18,246.1,0.97479,0.25934,0.25685,0.64732,1.22629,0.99857,1,0.995,0.85197,0.99857,1,0.995,0.96122,0.65155,0.22516,0.04592,0.34311,0.87688,0.0016634,0.0016634,0.0016634
19,261.362,0.99165,0.25089,0.25452,0.64861,1.22985,0.9964,1,0.995,0.75802,0.9964,1,0.995,0.99303,0.97847,0.10576,0.02239,0.42861,1.07313,0.0016436,0.0016436,0.0016436
20,278.332,0.99214,0.27617,0.23934,0.65281,1.23849,0.99736,1,0.995,0.87054,0.99736,1,0.995,0.96011,0.57016,0.21468,0.02848,0.3628,0.86287,0.0016238,0.0016238,0.0016238
21,293.247,1.02664,0.24125,0.24614,0.67383,1.25931,0.99848,1,0.995,0.78879,0.99848,1,0.995,0.98563,0.88255,0.19784,0.03408,0.42924,0.95745,0.001604,0.001604,0.001604
22,308.336,0.95499,0.22487,0.23881,0.62221,1.22127,0.99856,1,0.995,0.86148,0.99856,1,0.995,0.995,0.60513,0.13881,0.08574,0.3218,0.8568,0.0015842,0.0015842,0.0015842
23,323.257,0.9296,0.23724,0.24128,0.59999,1.20581,0.99888,1,0.995,0.67511,0.99888,1,0.995,0.99016,1.21407,0.11738,0.02826,0.45893,1.16211,0.0015644,0.0015644,0.0015644
24,339.211,0.89531,0.20555,0.22905,0.5978,1.1877,0.99334,1,0.995,0.86474,0.99334,1,0.995,0.995,0.59041,0.08168,0.04855,0.31961,0.88665,0.0015446,0.0015446,0.0015446
25,355.717,0.91209,0.23307,0.23186,0.59757,1.18895,0.99753,1,0.995,0.82246,0.99753,1,0.995,0.99128,0.72766,0.06888,0.03357,0.33914,0.93201,0.0015248,0.0015248,0.0015248
26,374.529,0.90174,0.20743,0.23278,0.58669,1.19825,0.99861,1,0.995,0.78612,0.99861,1,0.995,0.9912,0.90277,0.08771,0.05153,0.37601,0.98317,0.001505,0.001505,0.001505
27,390.262,0.90563,0.222,0.23332,0.58341,1.1964,0.99795,1,0.995,0.86297,0.99795,1,0.995,0.995,0.59884,0.0907,0.01391,0.30966,0.84807,0.0014852,0.0014852,0.0014852
